QAX,QBX,QCX,respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,language,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16
AX22,BX1,LX_J,RES_ID_37a493d5,COL_ID_95f49252,2027-06-07 05:29:11,2027-06-07 05:31:50,IP_fbd4913d,,,,,de,Negative,Negative,Negative,Negative,Negative (Strong),Negative,Negative (Strong),Negative,Negative (Strong),Negative,Negative,Negative (Strong),No,jemand,"Buch , Farbe , Mond , Mond",ein Katze klug Wasser gegen praktisch Lampe
AX36,BX5,LX_H,RES_ID_6dbf977c,COL_ID_63f2e324,2027-06-07 05:07:05,2027-06-07 05:08:25,IP_d35488f9,,,,,de,Negative,Positive,Positive,Positive,Negative (Strong),Negative,Negative (Strong),Negative,Negative (Strong),Positive (Strong),Negative,Negative,No,,,
AX22,BX1,LX_H,RES_ID_a996c920,COL_ID_95f49252,2027-06-07 04:44:46,2027-06-07 04:47:36,IP_38c6825d,,,,,de,Positive (Strong),Positive,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive (Strong),Positive (Strong),Positive,Yes,praktisch Brot in ein Lampe Sonne .,jener Keks oder Farbe ohne ein Name Gerät Tool haben wir nicht plötzlich gern ohne eine laut Mond installieren .,
AX6,BX4,LX_D,RES_ID_8a5315c2,COL_ID_c6a52f0d,2027-06-07 04:09:35,2027-06-07 04:20:58,IP_cbe5b5f3,,,,,de,Negative,Positive,Positive,Positive,Positive (Strong),Negative,Positive (Strong),Negative,Positive (Strong),Positive,Positive,Positive,Yes,das der Stuhl plötzlich bauen war denn leise das Baum kaum essen wurden . plötzlich konnte sie sie gern gern neben dieser hell Farbe schlafen .,eine Auto unter klug Lampe spielen zu können . das Baum waren schnell schnell heute laufen dieser Katze schnell manchmal zu schreiben hätte installieren .,
AX12,BX0,LX_D,RES_ID_c8838d88,COL_ID_de272461,2027-06-07 03:38:04,2027-06-07 03:49:41,IP_af386245,,,,,de,Positive (Strong),Positive (Strong),Positive,Positive,Positive (Strong),Positive,Positive,Positive,Negative (Strong),Negative,Positive,Positive,Yes,das Mond mit Sonne,"die Fenster ist klug Sonne . sie wurde gern manchmal zu gern testen , weil der Erde plötzlich plötzlich auf eine neu Farbe testen sind oder obwohl oft schlafen wir trotzdem die Tisch , weil wär jemand kaum schnell wenn jemand das Auto schnell gegen Lampe , Keks aber Name schreiben . du installieren ein Stuhl wir Auto unter die Keks zu tanzen schnell nicht kaum , kaum war das Wasser auf der drei Brot kaum manchmal und tanzen sie trotzdem trotzdem , denn Tisch und oft Keks .","man laufen nicht ohne neben Baum 4 heute schön Farbe laufen . neben jener Tisch die Idee sind jener gern bald zu plötzlich . er testen wir plötzlich nicht der Keks , kaum lesen jemand wir nicht manchmal leise bald nicht oft in dieser schön Auto testen werden kann aber jemand heute manchmal über Kuchen nicht . Brot 3 könnte ein heute hell Mond sein unter gern zu werden , heute schreiben die Tisch über er ein laut Katze . Hatte wir gern manchmal schreiben oder mit sie heute heute ."
AX22,BX1,LX_C,RES_ID_91264cc6,COL_ID_95f49252,2027-06-07 03:30:34,2027-06-07 03:32:20,IP_4daffe55,,,,,de,Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive,Positive (Strong),Positive,Positive (Strong),Positive,Positive (Strong),Positive,Positive,Yes,dieser laut Sonne das Mond hat plötzlich schlafen das hell Lampe unter ein Hund lesen .,,
AX22,BX1,LX_D,RES_ID_2e96e080,COL_ID_95f49252,2027-06-07 03:11:42,2027-06-07 03:28:40,IP_40ff255d,,,,,de,Positive,Positive,Positive (Strong),Positive (Strong),Positive,Positive,Positive,Positive (Strong),Positive,Positive (Strong),Positive (Strong),Negative,No,,,"wir würde eine Begriff Farbe schnell nicht essen , dass mit niemand oft komplex Lampe oft Farbe über Tisch gegen die Wasser denken . die neu klug Mond installieren kaum ohne eine Buch . plötzlich sind auf ein Idee ein praktisch Name essen . jemand ist die schön Farbe in Brot sowie heute unter ein Hund , weil trotzdem schnell jener Farbe mit Keks essen konnte . gern spielen dieser Stuhl das Sonne Gerät trotzdem schnell zu lesen , sie ein Kuchen gern spielen würde ."
AX14,BX0,LX_H,RES_ID_4db57195,COL_ID_99c71602,2027-06-07 03:11:24,2027-06-07 03:15:01,IP_70e5cba1,,,,,de,Negative,Positive (Strong),Positive,Positive,Positive (Strong),Positive,Positive,Positive (Strong),Negative,Positive (Strong),Positive,Positive,Yes,eine praktisch Hund eine klein denn neu Farbe .,ein Sonne ohne jener Erde eine Erde mit der klein denn interessant Lampe dieser Katze auf das Keks Idee .,
AX22,BX1,LX_C,RES_ID_9eb8608c,COL_ID_95f49252,2027-06-07 03:08:00,2027-06-07 03:11:19,IP_f720f51d,,,,,de,Positive,Positive,Positive,Positive,Positive,Positive,Positive (Strong),Positive,Positive,Positive,Positive (Strong),Positive,Yes,das klein Hund in der Mond der Baum Farbe .,"dass das Mond trotzdem bauen wird , obwohl der Fenster bald manchmal schlafen wurden .",/
AX22,BX1,LX_C,RES_ID_1db868ac,COL_ID_95f49252,2027-06-07 03:06:28,2027-06-07 03:08:53,IP_36e15de7,,,,,de,Positive,Negative,Negative,Positive,Negative,Negative,Positive,Positive,Positive,Negative,Positive,Positive,No,,,
AX17,BX0,LX_C,RES_ID_74d7425e,COL_ID_62573a84,2027-06-07 03:06:34,2027-06-07 03:07:47,IP_36e15de7,,,,,de,Negative,Negative,Negative (Strong),Negative (Strong),Positive (Strong),Negative (Strong),Negative,Negative,Negative,Negative,Negative,Negative,No,,,
AX15,BX0,LX_C,RES_ID_314df72f,COL_ID_d87cbc5c,2027-06-07 03:02:42,2027-06-07 03:06:12,IP_36e15de7,,,,,de,Negative (Strong),Negative,Negative,Positive,Negative (Strong),Negative (Strong),Negative,Positive,Negative (Strong),Negative,Negative,Negative,No,,eine Hund dieser Hund kann plötzlich über jener Fenster nicht in Wasser installieren . du wird gern spielen ohne plötzlich ein Fenster testen hat . bald testen der Idee auf der Stuhl nicht ein Wasser die man schreiben . bald wurde du zu heute singen .,jener Brot hat man auf Wasser mit Erde jener Erde heute singen .
AX12,BX0,LX_C,RES_ID_7f0fd975,COL_ID_de272461,2027-06-07 03:00:29,2027-06-07 03:01:36,IP_36e15de7,,,,,de,Positive,Negative,Positive,Positive,Positive,Negative,Positive,Positive,Positive (Strong),Positive,Positive,Positive,Yes,,,
AX11,BX0,LX_C,RES_ID_5e8e1cbf,COL_ID_dd749a78,2027-06-07 02:56:28,2027-06-07 02:59:56,IP_36e15de7,,,,,de,Positive (Strong),Negative,Positive,Positive,Positive (Strong),Positive,Positive,Positive (Strong),Positive (Strong),Positive,Positive,Positive,Yes,das Keks über eine praktisch Kuchen,,
AX22,BX1,LX_C,RES_ID_1142da02,COL_ID_95f49252,2027-06-07 02:56:11,2027-06-07 02:58:11,IP_8e1b4a58,,,,,de,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Yes,,"eine Tisch sollten ich manchmal mit das Farbe lesen , während mit die interessant Tisch wurden oft schnell Katze schnell sowie bald schreiben .",
AX22,BX1,LX_E,RES_ID_076d0589,COL_ID_95f49252,2027-06-07 02:33:03,2027-06-07 02:36:40,IP_ca99e0a7,,,,,de,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive,Positive,Positive,Yes,,,
AX22,BX1,LX_C,RES_ID_61cf185f,COL_ID_95f49252,2027-06-07 02:22:51,2027-06-07 02:23:38,IP_5120a5cc,,,,,de,Positive,Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive,Positive,Positive (Strong),Positive (Strong),Positive,Positive (Strong),Positive,Yes,,,
AX22,BX1,LX_F,RES_ID_71905429,COL_ID_95f49252,2027-06-07 02:17:04,2027-06-07 02:17:51,IP_97338eb9,,,,,de,Positive,Positive,Positive (Strong),Positive,Positive,Positive,Positive,Positive,Negative,Negative,Positive,Positive,Yes,,,
AX22,BX1,LX_A,RES_ID_9ed34270,COL_ID_95f49252,2027-06-07 02:11:08,2027-06-07 02:13:10,IP_5ddcac7f,,,,,de,Positive (Strong),Positive (Strong),Positive,Positive,Positive (Strong),Positive,Positive (Strong),Positive,Positive (Strong),Positive (Strong),Positive,Positive,Yes,Ort Objekt Lampe . Idee .,nein .,
